id,name,description,owner,viewUrl,searchUrl,jql
"10967","Doordash Delivery Outage Follow-up Items","Tracking all items mentioned in the RCA/Postmortem. Each team is responsible for their individual priorities.","Michael Wang","https://cockroachlabs.atlassian.net/issues/?filter=10967","https://cockroachlabs.atlassian.net/rest/api/3/search?jql=project+%3D+CRDB+AND+issuetype+in+(Bug,+Task)+AND+labels+%3D+dd-delivery-outage-followup","project = CRDB AND issuetype in (Bug, Task) AND labels = dd-delivery-outage-followup"
"11403","Multi-region low latency milestone 1"," ","Kiki Carter","https://cockroachlabs.atlassian.net/issues/?filter=11403","https://cockroachlabs.atlassian.net/rest/api/3/search?jql=project+%3D+EDU+AND+fixVersion+%3D+low-latency-MR-postGA-v2+order+by+Rank","project = EDU AND fixVersion = low-latency-MR-postGA-v2 order by Rank"
