id,name,description,owner,viewUrl,searchUrl,jql
"10336","21.1 Features - Customer Impact"," ","Nathaniel Stewart","https://cockroachlabs.atlassian.net/issues/?filter=10336","https://cockroachlabs.atlassian.net/rest/api/3/search?jql=project+in+(CC,+CRDB)+AND+issuetype+%3D+Epic+AND+fixVersion+%3D+%2221.1+(Spring+'21)%22+AND+%22Customer+Impact%22+in+(Major,+Minor,+Medium)+and+status+not+in+(Cancelled,+Duplicate)+ORDER+BY+Rank+ASC","project in (CC, CRDB) AND issuetype = Epic AND fixVersion = "21.1 (Spring '21)" AND "Customer Impact" in (Major, Minor, Medium) and status not in (Cancelled, Duplicate) ORDER BY Rank ASC"
"10905","DX Third-Party Backlog"," ","Paul Kernfeld","https://cockroachlabs.atlassian.net/issues/?filter=10905","https://cockroachlabs.atlassian.net/rest/api/3/search?jql=project+%3D+dxtpt+AND+priority+%3E%3D+Medium+ORDER+BY+priority+DESC","project = dxtpt AND priority >= Medium ORDER BY priority DESC"
"11204","23.1 GTM "," ","Aika Zikibayeva","https://cockroachlabs.atlassian.net/issues/?filter=11204","https://cockroachlabs.atlassian.net/rest/api/3/search?jql=fixVersion+%3D+%2223.1+(Spring+23)%22+AND+%22GTM+Impact%5BDropdown%5D%22+in+(Major,+Medium)+ORDER+BY+cf%5B10052%5D+ASC,+created+DESC","fixVersion = "23.1 (Spring 23)" AND "GTM Impact[Dropdown]" in (Major, Medium) ORDER BY cf[10052] ASC, created DESC"
"11096","JPMC Risk Assessment 2022 - Unlinked Moderate Risks"," ","Adam Brennick","https://cockroachlabs.atlassian.net/issues/?filter=11096","https://cockroachlabs.atlassian.net/rest/api/3/search?jql=%22Epic+Link%22+%3D+CREQ-611+and+labels+!%3D+jpmc-linked-risk+and+priority+%3D+Medium",""Epic Link" = CREQ-611 and labels != jpmc-linked-risk and priority = Medium"
